buy_date,signal_month_end,buy_price,sell_date,sell_price,peak_close,return_pct,duration_days
2021-05-06,2021-04-30,42.19,2021-06-15,43.87,46.83,3.98,40
2021-11-01,2021-10-29,44.33,2021-11-10,41.57,44.43,-6.23,9
2022-12-01,2022-11-30,30.76,2023-02-03,33.67,36.01,9.46,64
2023-08-01,2023-07-31,32.12,2023-08-11,29.97,31.63,-6.69,10
2024-02-01,2024-01-31,27.73,2024-03-19,27.84,29.83,0.4,47
2024-10-08,2024-09-30,39.65,2024-10-09,35.48,38.34,-10.52,1
2025-02-05,2025-01-27,39.16,2025-03-26,40.89,44.11,4.42,49
2025-07-01,2025-06-30,44.05,2025-08-15,43.3,46.24,-1.7,45
